detector_id,correlation,correlation_ma
10024026[D2_5X.1],0.639,0.757
10024027[D4_4X.1],0.943,0.970
10024028[D4_5X.1],0.940,0.976
10025,0.349,0.447
10025001[PIR1],0.451,0.509
10025002[PIR1a],0.440,0.456
10025005[D41],0.535,0.708
10025006[D42],N/A,N/A
10025007[D1_1x],0.656,0.821
10025008[D1_2x],0.841,0.893
10026,-0.395,-0.332
10026005[D2_1C],0.057,0.306
10026006[D3_1B],0.683,0.739
10026007[D3_2B],0.550,0.777
10026008[D4_1B],0.026,0.087
10026010[D3_1X],0.513,0.748
10026011[D4_1X],0.874,0.932
10027,-0.957,-0.957
10028,0.156,0.379
10029,0.358,0.438
10029001,-0.235,-0.228
10029002,-0.268,-0.283
10029003,-0.044,0.001
10029004,0.390,0.615
10029005,-0.135,-0.026
10029006,-0.028,0.057
10029007,0.268,0.194
10029008,0.354,0.356
10029008[D3_1B],-0.139,0.002
10029009,0.336,0.394
10029009[D3_2B],0.254,0.403
10029010,0.096,0.277
10029010[D7_1B],-0.234,-0.198
10029011[D7_2B],-0.688,-0.780
1003,-0.077,-0.087
10030,0.426,0.534
10030004[D1_1B],-0.603,-0.713
10030005[D1_2B],-0.440,-0.554
10030006[D1_3B],0.427,0.512
10030007[D5_1B],-0.646,-0.689
10030008[D5_2B],-0.794,-0.869
10030009[D5_3B],0.018,0.130
10031,-0.007,0.011
10032,-0.925,-0.930
10032001[Det 6_1B],0.007,-0.324
10032002[Det 6_2B],-0.129,-0.060
10032003[Det 8_1B],0.106,0.207
10032004[Det 8_2B],0.315,0.483
10032005[Det 8_3B],-0.700,-0.835
10033,-0.015,-0.013
10033003[D1_1B],0.283,0.503
10033004[D1_2B],0.552,0.694
10033005[D3_1B],0.117,0.374
10033006[D3_2B],-0.251,-0.193
10034,-0.820,-0.784
10034001[D43/1],0.195,0.264
10034002[8-1B],-0.123,0.112
10034003[1-1B],-0.046,0.288
10034005[1-2B],-0.266,-0.154
