Epoch 082: Train Loss: 0.6700 (TP, FP, TN, FN)=(1105, 2528, 4329, 2871), Val Loss: 0.6867 (TP, FP, TN, FN)=(132, 273, 473, 312), f1=0.3110
Epoch 083: Train Loss: 0.6695 (TP, FP, TN, FN)=(1172, 2631, 4226, 2804), Val Loss: 0.6857 (TP, FP, TN, FN)=(136, 286, 460, 308), f1=0.3141
Epoch 084: Train Loss: 0.6691 (TP, FP, TN, FN)=(1349, 2877, 3980, 2627), Val Loss: 0.6855 (TP, FP, TN, FN)=(156, 310, 436, 288), f1=0.3429
Epoch 085: Train Loss: 0.6685 (TP, FP, TN, FN)=(1220, 2669, 4188, 2756), Val Loss: 0.6846 (TP, FP, TN, FN)=(141, 286, 460, 303), f1=0.3238
Epoch 086: Train Loss: 0.6682 (TP, FP, TN, FN)=(1102, 2456, 4401, 2874), Val Loss: 0.6843 (TP, FP, TN, FN)=(123, 263, 483, 321), f1=0.2964
Epoch 087: Train Loss: 0.6678 (TP, FP, TN, FN)=(1214, 2613, 4244, 2762), Val Loss: 0.6846 (TP, FP, TN, FN)=(137, 274, 472, 307), f1=0.3205
Epoch 088: Train Loss: 0.6676 (TP, FP, TN, FN)=(1358, 2854, 4003, 2618), Val Loss: 0.6846 (TP, FP, TN, FN)=(153, 303, 443, 291), f1=0.3400
Epoch 089: Train Loss: 0.6669 (TP, FP, TN, FN)=(1260, 2682, 4175, 2716), Val Loss: 0.6837 (TP, FP, TN, FN)=(142, 287, 459, 302), f1=0.3253
Epoch 090: Train Loss: 0.6667 (TP, FP, TN, FN)=(1155, 2526, 4331, 2821), Val Loss: 0.6829 (TP, FP, TN, FN)=(132, 266, 480, 312), f1=0.3135
Epoch 091: Train Loss: 0.6663 (TP, FP, TN, FN)=(1287, 2725, 4132, 2689), Val Loss: 0.6831 (TP, FP, TN, FN)=(144, 290, 456, 300), f1=0.3280
Epoch 092: Train Loss: 0.6660 (TP, FP, TN, FN)=(1460, 3005, 3852, 2516), Val Loss: 0.6841 (TP, FP, TN, FN)=(162, 316, 430, 282), f1=0.3514
Epoch 093: Train Loss: 0.6653 (TP, FP, TN, FN)=(1330, 2797, 4060, 2646), Val Loss: 0.6845 (TP, FP, TN, FN)=(150, 293, 453, 294), f1=0.3382
Epoch 094: Train Loss: 0.6650 (TP, FP, TN, FN)=(1234, 2634, 4223, 2742), Val Loss: 0.6852 (TP, FP, TN, FN)=(138, 279, 467, 306), f1=0.3206
Epoch 095: Train Loss: 0.6645 (TP, FP, TN, FN)=(1388, 2896, 3961, 2588), Val Loss: 0.6855 (TP, FP, TN, FN)=(155, 295, 451, 289), f1=0.3468
Epoch 096: Train Loss: 0.6639 (TP, FP, TN, FN)=(1520, 3087, 3770, 2456), Val Loss: 0.6850 (TP, FP, TN, FN)=(180, 322, 424, 264), f1=0.3805
Epoch 097: Train Loss: 0.6634 (TP, FP, TN, FN)=(1410, 2897, 3960, 2566), Val Loss: 0.6840 (TP, FP, TN, FN)=(158, 303, 443, 286), f1=0.3492
Epoch 098: Train Loss: 0.6630 (TP, FP, TN, FN)=(1302, 2752, 4105, 2674), Val Loss: 0.6840 (TP, FP, TN, FN)=(150, 292, 454, 294), f1=0.3386
Epoch 099: Train Loss: 0.6623 (TP, FP, TN, FN)=(1449, 2968, 3889, 2527), Val Loss: 0.6855 (TP, FP, TN, FN)=(166, 307, 439, 278), f1=0.3621
Epoch 100: Train Loss: 0.6619 (TP, FP, TN, FN)=(1484, 3025, 3832, 2492), Val Loss: 0.6866 (TP, FP, TN, FN)=(174, 314, 432, 270), f1=0.3734
Epoch 101: Train Loss: 0.6615 (TP, FP, TN, FN)=(1356, 2765, 4092, 2620), Val Loss: 0.6866 (TP, FP, TN, FN)=(154, 287, 459, 290), f1=0.3480
Epoch 102: Train Loss: 0.6609 (TP, FP, TN, FN)=(1372, 2786, 4071, 2604), Val Loss: 0.6863 (TP, FP, TN, FN)=(158, 291, 455, 286), f1=0.3539
Epoch 103: Train Loss: 0.6606 (TP, FP, TN, FN)=(1489, 2959, 3898, 2487), Val Loss: 0.6861 (TP, FP, TN, FN)=(176, 307, 439, 268), f1=0.3797
Epoch 104: Train Loss: 0.6601 (TP, FP, TN, FN)=(1484, 2911, 3946, 2492), Val Loss: 0.6863 (TP, FP, TN, FN)=(176, 301, 445, 268), f1=0.3822
Epoch 105: Train Loss: 0.6596 (TP, FP, TN, FN)=(1412, 2802, 4055, 2564), Val Loss: 0.6865 (TP, FP, TN, FN)=(161, 287, 459, 283), f1=0.3610
